"ID(s) interactor A"	"ID(s) interactor B"	"Alt. ID(s) interactor A"	"Alt. ID(s) interactor B"	"Alias(es) interactor A"	"Alias(es) interactor B"	"Interaction detection method(s)"	"Publication 1st author(s)"	"Publication Identifier(s)"	"Taxid interactor A"	"Taxid interactor B"	"Interaction type(s)"	"Source database(s)"	"Interaction identifier(s)"	"Confidence value(s)"	"Experimental role(s) interactor A"	"Experimental role(s) interactor B"	"Properties interactor A"	"Properties interactor B"	"HostOrganism(s)"
uniprotkb:P54132	uniprotkb:P55854	uniprotkb:BLM(gene name)	uniprotkb:SUMO3(gene name)	-	-	MI:0493(in vivo)|MI:0004(affinity chromatography technology)	-	pubmed:16620772|pubmed:16620772	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0915(physical association)	MI:0468(hprd)|(biogrid)	HPRD_2883|BIOGRID_116731	-	-|prey	-|bait	go:GO:0005524|go:GO:0043140|go:GO:0004003|go:GO:0000729|go:GO:0051880|go:GO:0000085|go:GO:0031572|go:GO:0016605|go:GO:0046632|go:GO:0000405|go:GO:0005737|go:GO:0000724|go:GO:0009378|go:GO:0000800|go:GO:0001673|go:GO:0045910|go:GO:0051782|go:GO:0045950|go:GO:0016363|go:GO:0005730|go:GO:0046641|go:GO:0045893|go:GO:0045120|go:GO:0051259|go:GO:0051098|go:GO:0000079|go:GO:0005657|go:GO:0031297|go:GO:0048478|go:GO:0010165|go:GO:0003697|go:GO:0000723	go:GO:0019789|go:GO:0005737|go:GO:0000776|go:GO:0016925	-|unspecified:32644
uniprotkb:P22681	uniprotkb:Q53XJ8	uniprotkb:CBL(gene name)	uniprotkb:F2RL1(gene name)	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pubmed:15708858|pubmed:15708858	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0471(mint)|MI:0471(mint)	MINT_43511|MINT_73562	-	bait|bait	prey|prey	go:GO:0005509|go:GO:0005829|go:GO:0007173|go:GO:0008543|go:GO:0016600|go:GO:0043066|go:GO:0042059|go:GO:0005634|go:GO:0005886|go:GO:0014068|go:GO:0048260|go:GO:0003700|go:GO:0004871|go:GO:0004842|go:GO:0008270	go:GO:0004930|go:GO:0005794|go:GO:0002286|go:GO:0007596|go:GO:0035926|go:GO:0051607|go:GO:0007204|go:GO:0061028|go:GO:0006954|go:GO:0045087|go:GO:0005887|go:GO:0072643|go:GO:0050702|go:GO:0072608|go:GO:0050900|go:GO:0070661|go:GO:0097029|go:GO:0046329|go:GO:0090198|go:GO:0034140|go:GO:0010804|go:GO:0042119|go:GO:0070374|go:GO:0043123|go:GO:0046330|go:GO:0035025|go:GO:0030836|go:GO:0002741|go:GO:0043311|go:GO:0003104|go:GO:2000778|go:GO:2000484|go:GO:0002690|go:GO:0070963|go:GO:0060100|go:GO:0014068|go:GO:0050927|go:GO:0031274|go:GO:1900135|go:GO:0032930|go:GO:0034137|go:GO:0034141|go:GO:0034145|go:GO:0045944|go:GO:0045909|go:GO:0031143|go:GO:0030193|go:GO:0015057	rat:10116|rat:10116
uniprotkb:O75832	uniprotkb:Q9Y617	uniprotkb:PSMD10(gene name)	uniprotkb:PSAT1(gene name)	-	-	MI:0018(two hybrid)	-	pubmed:21988832	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_127641	-	unspecified role	unspecified role	go:GO:0006977|go:GO:0000082|go:GO:0000216|go:GO:0000084|go:GO:0015629|go:GO:0031145|go:GO:0002479|go:GO:0006915|go:GO:0007253|go:GO:0005829|go:GO:0010467|go:GO:0045111|go:GO:0016071|go:GO:0043518|go:GO:0043409|go:GO:0032088|go:GO:0043066|go:GO:0090201|go:GO:0000122|go:GO:0051436|go:GO:0005654|go:GO:0030307|go:GO:0045737|go:GO:0032436|go:GO:0051437|go:GO:0005838|go:GO:0070682|go:GO:0000209|go:GO:0006521|go:GO:0044281|go:GO:0016032	go:GO:0006564|go:GO:0004648|go:GO:0034641|go:GO:0005829|go:GO:0030170|go:GO:0008615	yeasx:4932
uniprotkb:O15481	uniprotkb:Q8IY81	uniprotkb:MAGEB4(gene name)	uniprotkb:FTSJ3(gene name)	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|-	MI:0469(intact)|(biogrid)|MI:0469(intact)|MI:0468(hprd)	IntAct_102436|BIOGRID_73835|IntAct_103107|HPRD_21162	-	unspecified role|bait|unspecified role|-	unspecified role|prey|unspecified role|-	-	go:GO:0001510|go:GO:0008168|go:GO:0005730|go:GO:0006364	yeasx:4932|unspecified:32644|yeasx:4932|-
uniprotkb:P08727	uniprotkb:P55854	uniprotkb:KRT19(gene name)	uniprotkb:SUMO3(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:21062750	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_158154	-	bait	prey	go:GO:0030018|go:GO:0060706|go:GO:0071944|go:GO:0043034|go:GO:0016010|go:GO:0005882|go:GO:0043627|go:GO:0042383|go:GO:0045214|go:GO:0005200|go:GO:0008307|go:GO:0019048	go:GO:0019789|go:GO:0005737|go:GO:0000776|go:GO:0016925	unspecified:32644
uniprotkb:Q16778	uniprotkb:Q9NV56	uniprotkb:HIST2H2BE(gene name)	uniprotkb:MRGBP(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:17573780	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_131275	-	prey	bait	go:GO:0003677|go:GO:0042742|go:GO:0000786|go:GO:0006334|go:GO:0005634	go:GO:0043189|go:GO:0016568|go:GO:0005634|go:GO:0040008|go:GO:0006355|go:GO:0006351	unspecified:32644
uniprotkb:O14497	uniprotkb:Q8TAQ2	uniprotkb:ARID1A(gene name)	uniprotkb:SMARCC2(gene name)	-	-	MI:0493(in vivo)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)|MI:0493(in vivo)|MI:0226(ion exchange chromatography)	-	pubmed:12837248|pubmed:20305087|pubmed:19650111|pubmed:19650111|pubmed:16055720|pubmed:12665591|pubmed:11780067	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|-|-|MI:0914(association)	MI:0468(hprd)|(biogrid)|(biogrid)|(biogrid)|MI:0468(hprd)|MI:0468(hprd)|MI:0469(intact)	HPRD_39352|BIOGRID_176932|BIOGRID_120774|BIOGRID_120777|HPRD_39758|HPRD_40597|IntAct_154060	-	-|prey|bait|prey|-|-|bait	-|bait|prey|bait|-|-|prey	go:GO:0003677|go:GO:0016514|go:GO:0030521|go:GO:0048096|go:GO:0042921|go:GO:0030520|go:GO:0071565|go:GO:0007399|go:GO:0071564|go:GO:0000790|go:GO:0006337|go:GO:0042766|go:GO:0006357|go:GO:0003713|go:GO:0006351	go:GO:0003677|go:GO:0016514|go:GO:0003682|go:GO:0006338|go:GO:0071565|go:GO:0045892|go:GO:0007399|go:GO:0071564|go:GO:0006337|go:GO:0045893|go:GO:0006357|go:GO:0003713|go:GO:0006351	-|unspecified:32644|unspecified:32644|unspecified:32644|-|-|human-hela:9606
uniprotkb:O95602	uniprotkb:Q92688	uniprotkb:POLR1A(gene name)	uniprotkb:ANP32B(gene name)	-	-	MI:0492(in vitro)	-	pubmed:9285060	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_15403	-	-	-	go:GO:0003677|go:GO:0005736|go:GO:0003899|go:GO:0005654|go:GO:0009303|go:GO:0006363|go:GO:0006362|go:GO:0006361|go:GO:0008270	go:GO:0005737|go:GO:0005634	-
uniprotkb:Q96BR9	uniprotkb:Q9BXS5	uniprotkb:ZBTB8A(gene name)	uniprotkb:AP1M1(gene name)	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0469(intact)|(biogrid)|MI:0471(mint)|MI:0469(intact)|MI:0471(mint)	IntAct_102284|BIOGRID_74215|MINT_69272|IntAct_102955|MINT_39977	-	unspecified role|prey|prey|unspecified role|prey	unspecified role|bait|bait|unspecified role|bait	go:GO:0003677|go:GO:0005634|go:GO:0006355|go:GO:0006351|go:GO:0008270	go:GO:0000139|go:GO:0019886|go:GO:0016044|go:GO:0030131|go:GO:0030665|go:GO:0030659|go:GO:0005829|go:GO:0035646|go:GO:0006886|go:GO:0005765|go:GO:0032438|go:GO:0006892|go:GO:0050690|go:GO:0032588|go:GO:0016032|go:GO:0019048	yeasx:4932|unspecified:32644|yeast:4932|yeasx:4932|yeast:4932
uniprotkb:P10276	uniprotkb:P12931	uniprotkb:RARA(gene name)	uniprotkb:SRC(gene name)	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0096(pull down)|MI:0018(two hybrid)	-	pubmed:17363140|pubmed:12612084|pubmed:10454579|pubmed:20338915|pubmed:17641689	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	(biogrid)|(biogrid)|(biogrid)|(biogrid)|(biogrid)	BIOGRID_131496|BIOGRID_109896|BIOGRID_85297|BIOGRID_132159|BIOGRID_147936	-	prey|bait|bait|prey|bait	bait|prey|prey|bait|prey	go:GO:0043277|go:GO:0009986|go:GO:0071391|go:GO:0071300|go:GO:0031490|go:GO:0005737|go:GO:0030520|go:GO:0030853|go:GO:0032689|go:GO:0045892|go:GO:0032720|go:GO:0000790|go:GO:0005654|go:GO:0045630|go:GO:0051099|go:GO:0045787|go:GO:0008284|go:GO:0032736|go:GO:0032753|go:GO:0032754|go:GO:0045944|go:GO:0006468|go:GO:0032355|go:GO:0001972|go:GO:0003708|go:GO:0044323|go:GO:0043565|go:GO:0003707|go:GO:0003713|go:GO:0003714|go:GO:0006367|go:GO:0008270	go:GO:0005524|go:GO:0007265|go:GO:0031295|go:GO:0007411|go:GO:0045453|go:GO:0060444|go:GO:0005901|go:GO:0007155|go:GO:0007049|go:GO:0016044|go:GO:0071393|go:GO:0005856|go:GO:0005829|go:GO:0007173|go:GO:0008543|go:GO:0030900|go:GO:0020037|go:GO:0007243|go:GO:0005770|go:GO:0050900|go:GO:0005764|go:GO:0005743|go:GO:2000811|go:GO:2001237|go:GO:0051895|go:GO:2001243|go:GO:0048011|go:GO:0004715|go:GO:0005634|go:GO:0048477|go:GO:0018108|go:GO:0030168|go:GO:0090263|go:GO:0033625|go:GO:0050847|go:GO:0045124|go:GO:0033146|go:GO:0043114|go:GO:0070555|go:GO:0007172|go:GO:0060065|go:GO:0019048	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644
uniprotkb:P11233	uniprotkb:Q92930	uniprotkb:RALA(gene name)	uniprotkb:RAB8B(gene name)	-	-	MI:0493(in vivo)	-	pubmed:10889189	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	HPRD_2460	-	-	-	go:GO:0005525|go:GO:0003924|go:GO:0007265|go:GO:0031532|go:GO:0007049|go:GO:0009986|go:GO:0006935|go:GO:0032154|go:GO:0000910|go:GO:0006887|go:GO:0051665|go:GO:0030496|go:GO:0048011|go:GO:0005886|go:GO:0051491|go:GO:0017157|go:GO:0019048	go:GO:0005525|go:GO:0003924|go:GO:0034332|go:GO:0051286|go:GO:0031410|go:GO:0005739|go:GO:0048471|go:GO:0005778|go:GO:0005886|go:GO:0031346|go:GO:0051461|go:GO:0045046|go:GO:0007264	-
uniprotkb:P35244	uniprotkb:Q96JN8	uniprotkb:RPA3(gene name)	uniprotkb:NEURL4(gene name)	-	-	MI:0004(affinity chromatography technology)	-	pubmed:22261722	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	(biogrid)	BIOGRID_195604	-	prey	bait	go:GO:0000730|go:GO:0005662|go:GO:0006271|go:GO:0000082|go:GO:0000216|go:GO:0000084|go:GO:0000075|go:GO:0005737|go:GO:0005654|go:GO:0000718|go:GO:0006297|go:GO:0003697|go:GO:0000722|go:GO:0032201|go:GO:0006283	-	unspecified:32644
uniprotkb:P35398	uniprotkb:Q9NPJ4	uniprotkb:RORA(gene name)	uniprotkb:PNRC2(gene name)	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15604093|pubmed:15604093	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0407(direct interaction)	MI:0468(hprd)|(biogrid)	HPRD_33018|BIOGRID_140840	-	-|bait	-|prey	go:GO:0046068|go:GO:0021702|go:GO:0004879|go:GO:0006809|go:GO:0005654|go:GO:0045944|go:GO:0043030|go:GO:0043565|go:GO:0003707|go:GO:0006367|go:GO:0008270	go:GO:0000932|go:GO:0031087|go:GO:0000184|go:GO:0005634|go:GO:0006355|go:GO:0006351	-|unspecified:32644
uniprotkb:P01112	uniprotkb:Q9NZL6	uniprotkb:HRAS(gene name)	uniprotkb:RGL1(gene name)	-	-	MI:0018(two hybrid)|MI:0096(pull down)	-	pubmed:10545207|pubmed:20936779	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-|MI:0915(physical association)	MI:0468(hprd)|MI:0469(intact)	HPRD_3992|IntAct_131115	-	-|bait	-|prey	go:GO:0005525|go:GO:0003924|go:GO:0005794|go:GO:0000139|go:GO:0000165|go:GO:0007265|go:GO:0030036|go:GO:0000186|go:GO:0006915|go:GO:0007411|go:GO:0007596|go:GO:0007050|go:GO:0008283|go:GO:0090398|go:GO:0005829|go:GO:0006897|go:GO:0007173|go:GO:0008543|go:GO:0006917|go:GO:0008286|go:GO:0050900|go:GO:0031575|go:GO:0008285|go:GO:0043524|go:GO:0048011|go:GO:0005634|go:GO:0009887|go:GO:0048471|go:GO:0005886|go:GO:0045740|go:GO:0070374|go:GO:0046330|go:GO:0035022|go:GO:0050679|go:GO:0045944|go:GO:0048169|go:GO:0032228|go:GO:0035176|go:GO:0051146|go:GO:0007268|go:GO:0008542	go:GO:0008321|go:GO:0044255|go:GO:0005829|go:GO:0051056|go:GO:0007264|go:GO:0044281	-|in vitro:-1
uniprotkb:Q9H6Y7	uniprotkb:Q9Y4W6	uniprotkb:RNF167(gene name)	uniprotkb:AFG3L2(gene name)	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:unassigned656	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	IntAct_120955	-	bait	prey	go:GO:0005737|go:GO:0012505|go:GO:0016021|go:GO:0045786|go:GO:0000209|go:GO:0004842|go:GO:0008270	go:GO:0005524|go:GO:0007409|go:GO:0008219|go:GO:0042407|go:GO:0016021|go:GO:0004222|go:GO:0008053|go:GO:0005743|go:GO:0034982|go:GO:0005739|go:GO:0042552|go:GO:0021675|go:GO:0007528|go:GO:0017111|go:GO:0030163|go:GO:0006508|go:GO:0040014|go:GO:0060013|go:GO:0008270	rat-r9:10114
