#uidA	uidB	altA	altB	aliasA	aliasB	method	author	pmids	taxa	taxb	interactionType	sourcedb	interactionIdentifier	confidence	expansion	biological_role_A	biological_role_B	experimental_role_A	experimental_role_B	interactor_type_A	interactor_type_B	xrefs_A	xrefs_B	xrefs_Interaction	Annotations_A	Annotations_B	Annotations_Interaction	Host_organism_taxid	parameters_Interaction	Creation_date	Update_date	Checksum_A	Checksum_B	Checksum_Interaction	Negative	OriginalReferenceA	OriginalReferenceB	FinalReferenceA	FinalReferenceB	MappingScoreA	MappingScoreB	irogida	irogidb	irigid	crogida	crogidb	crigid	icrogida	icrogidb	icrigid	imex_id	edgetype	numParticipants
uniprotkb:Q9H0Y0	uniprotkb:H7C2R3	entrezgene/locuslink:80087|entrezgene/locuslink:83734|refseq:NP_001124500|rogid:+tX3xESUryii74uKuOlLdrPyIc89606|irogid:67092	entrezgene/locuslink:10533|uniprotkb:H7C2R3|rogid:yLmnX85UKWo8LrRA3B+Yf61JtaE9606|irogid:52806846	hgnc:ATG10|uniprotkb:ATG10_HUMAN|crogid:+tX3xESUryii74uKuOlLdrPyIc89606|icrogid:67092	hgnc:ATG7|uniprotkb:H7C2R3_HUMAN|crogid:myjul9H3gvlZOK/NURXIkmjXspU9606|icrogid:3132597	MI:0004(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0463(biogrid)	biogrid:445904|rigid:VBVfSgIkloe9JNk0EfEU/4VPCCM|edgetype:X	hpr:975|lpr:975|np:1	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0496(bait)	MI:0498(prey)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:32644(unidentified)	-	2013-03-02	2013-03-02	rogid:+tX3xESUryii74uKuOlLdrPyIc89606	rogid:yLmnX85UKWo8LrRA3B+Yf61JtaE9606	rigid:VBVfSgIkloe9JNk0EfEU/4VPCCM	false	refseq:NP_001124500	entrez gene/locuslink:10533	refseq:NP_001124500	uniprotkb:H7C2R3	S	PGD+L	67092	52806846	1389774	+tX3xESUryii74uKuOlLdrPyIc89606	myjul9H3gvlZOK/NURXIkmjXspU9606	4emvSZzJxkfljhBr4Ni8J6iUmg0	67092	3132597	671014	-	X	2
uniprotkb:Q5RL73	rogid:jtiAFnb8UZ4Zdwc/pViUTnkgpB09606	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	pdb:1DPU|pdb:1DPU_A|rogid:jtiAFnb8UZ4Zdwc/pViUTnkgpB09606|irogid:9981648	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	crogid:jtiAFnb8UZ4Zdwc/pViUTnkgpB09606|icrogid:9981648	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:G+LQ3I0iOHaAYieNQKp+1+MBiXM|edgetype:X	hpr:6860|lpr:6860|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:jtiAFnb8UZ4Zdwc/pViUTnkgpB09606	rigid:G+LQ3I0iOHaAYieNQKp+1+MBiXM	false	uniprot:Q5RL73	pdb:1DPU	uniprotkb:Q5RL73	pdb:1DPU|A	STD+O	S+L	1258659	9981648	1320026	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	jtiAFnb8UZ4Zdwc/pViUTnkgpB09606	T0er0ipv0/X6usLqEjiwsNR8mUc	23415319	9981648	1379860	-	X	2
uniprotkb:P31150	uniprotkb:P60953	entrezgene/locuslink:116360|entrezgene/locuslink:2664|refseq:NP_001484|rogid:bE8RgEdzf7V/T+hWdGJkM9WM0yI9606|irogid:1210882	entrezgene/locuslink:998|genbank_protein_gi:183490|genbank_protein_gi:4757952|rogid:jiYEHWm+9LQyVj0eUGZOBGaajyU9606|irogid:2556870	hgnc:GDI1|uniprotkb:GDIA_HUMAN|crogid:bE8RgEdzf7V/T+hWdGJkM9WM0yI9606|icrogid:1210882	hgnc:CDC42|uniprotkb:CDC42_CANFA|uniprotkb:CDC42_HUMAN|uniprotkb:CDC42_MOUSE|crogid:BKYY7cVyFiK1OwqVY1Ng17MIDeY9606|icrogid:28221146	MI:0024(confirmational text mining)	-	pubmed:11583574	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:57/Z8i20BtZuulQwu7b4VHUcwek|edgetype:X	hpr:47500|lpr:1|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:bE8RgEdzf7V/T+hWdGJkM9WM0yI9606	rogid:jiYEHWm+9LQyVj0eUGZOBGaajyU9606	rigid:57/Z8i20BtZuulQwu7b4VHUcwek	false	Swiss-Prot:P31150	Swiss-Prot:P60953	uniprotkb:P31150	uniprotkb:P60953	PD	PD	1210882	2556870	677807	bE8RgEdzf7V/T+hWdGJkM9WM0yI9606	BKYY7cVyFiK1OwqVY1Ng17MIDeY9606	Fo48rtwLoJPlSthi6ijUWUGf7/M	1210882	28221146	1319081	-	X	2
uniprotkb:Q5RL73	uniprotkb:Q5RL73	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	MI:0018(two hybrid)	-	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	hprd:-|rigid:VECgBKxAHo0z7VhPnbeD9DM/7VE|edgetype:X	hpr:6860|lpr:6860|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rigid:VECgBKxAHo0z7VhPnbeD9DM/7VE	false	uniprot:Q5RL73	uniprot:Q5RL73	uniprotkb:Q5RL73	uniprotkb:Q5RL73	STD+O	STD+O	1258659	1258659	1082300	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	0Ei93c3LsWM/efQ10qj/CAhaeoc	23415319	23415319	1247424	-	X	2
uniprotkb:Q9GZP1	uniprotkb:Q9H8Y5	entrezgene/locuslink:80023|refseq:NP_079234|uniprotkb:Q9GZP1|rogid:DLMqYugMZF95LMvkn7Z4QyY2kuE9606|irogid:1581086	entrezgene/locuslink:55139|refseq:NM_018089|refseq:NP_001035869|rogid:ddIMBu8TTSoqw3EFEPgqx+F0BHA9606|irogid:1539390	hgnc:NRSN2|uniprotkb:NRSN2_HUMAN|crogid:DLMqYugMZF95LMvkn7Z4QyY2kuE9606|icrogid:1581086	hgnc:ANKZF1|uniprotkb:ANKZ1_HUMAN|crogid:ddIMBu8TTSoqw3EFEPgqx+F0BHA9606|icrogid:1539390	MI:0064(interologs mapping)	-	pubmed:15657099	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:S6xcZMdcqyNFYXFjTSCQ1Axd+/c|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:DLMqYugMZF95LMvkn7Z4QyY2kuE9606	rogid:ddIMBu8TTSoqw3EFEPgqx+F0BHA9606	rigid:S6xcZMdcqyNFYXFjTSCQ1Axd+/c	false	Swiss-Prot:Q9GZP1	Swiss-Prot:Q9H8Y5	uniprotkb:Q9GZP1	uniprotkb:Q9H8Y5	PD	PD	1581086	1539390	1028122	DLMqYugMZF95LMvkn7Z4QyY2kuE9606	ddIMBu8TTSoqw3EFEPgqx+F0BHA9606	S6xcZMdcqyNFYXFjTSCQ1Axd+/c	1581086	1539390	1028122	-	X	2
uniprotkb:Q5RL73	uniprotkb:P08670	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:7431|genbank_protein_gi:20473667|genbank_protein_gi:62414289|rogid:GhAhVuXMNxi6P5J0CfNi5l9bjRk9606|irogid:2053332	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:VIM|uniprotkb:VIME_HUMAN|crogid:GhAhVuXMNxi6P5J0CfNi5l9bjRk9606|icrogid:2053332	MI:0018(two hybrid)	goehler-2004-8	pubmed:15383276	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-475313|rigid:SXxQjKlO4USKbnLUTW0ZA0mf/1A|edgetype:X	hpr:476|lpr:476|np:1	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0498(prey)	MI:0496(bait)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:GhAhVuXMNxi6P5J0CfNi5l9bjRk9606	rigid:SXxQjKlO4USKbnLUTW0ZA0mf/1A	false	uniprotkb:Q5RL73	uniprotkb:P08670	uniprotkb:Q5RL73	uniprotkb:P08670	P	P	1258659	2053332	1041797	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	GhAhVuXMNxi6P5J0CfNi5l9bjRk9606	4eCdfI84JEJ+sbILLRbLIyx3utU	23415319	2053332	1267601	-	X	2
uniprotkb:Q13315	uniprotkb:A2I9Z2	entrezgene/locuslink:472|uniprotkb:Q13315|rogid:gOGWwUFagLABFNCs42hL23d5IxI9606|irogid:16816000	entrezgene/locuslink:7157|uniprotkb:A2I9Z2|rogid:ydKFa5X6z+6trDIDi5XntBWKjO09606|irogid:52945280	hgnc:ATM|uniprotkb:ATM_HUMAN|crogid:gOGWwUFagLABFNCs42hL23d5IxI9606|icrogid:16816000	hgnc:TP53|uniprotkb:A2I9Z2_HUMAN|crogid:XqDFHTpPrDIMZzO4WphD8KveLD89606|icrogid:39500776	MI:0415(enzymatic study)	Lin WC (2001)	pubmed:11459832	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0463(biogrid)	biogrid:558460|rigid:bhL52StiQMG31qqpMBSXPC1uyfs|edgetype:X	hpr:62|lpr:2|np:9	none	MI:0502(enzyme target)	MI:0501(enzyme)	MI:0496(bait)	MI:0498(prey)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:32644(unidentified)	-	2013-03-02	2013-03-02	rogid:gOGWwUFagLABFNCs42hL23d5IxI9606	rogid:ydKFa5X6z+6trDIDi5XntBWKjO09606	rigid:bhL52StiQMG31qqpMBSXPC1uyfs	false	uniprot/swiss-prot:Q13315	entrez gene/locuslink:7157	uniprotkb:Q13315	uniprotkb:A2I9Z2	SD	PGD+L	16816000	52945280	1419841	gOGWwUFagLABFNCs42hL23d5IxI9606	XqDFHTpPrDIMZzO4WphD8KveLD89606	Bvoq/U/P/QwXicF/e3DCluXJuSI	16816000	39500776	1301172	-	X	2
uniprotkb:Q5RL73	uniprotkb:P04792	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:140763|entrezgene/locuslink:3315|genbank_protein_gi:4504517|rogid:vrDXIdzP30aHSDLHOh2D4x54eJY9606|irogid:4580935	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:HSPB1|uniprotkb:HSPB1_HUMAN|crogid:vrDXIdzP30aHSDLHOh2D4x54eJY9606|icrogid:4580935	MI:0398(two hybrid pooling approach)	stelzl-2005-1	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-730183|rigid:ZcdFxUrjVYTjUQd2IYGPeTHR8dQ|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0498(prey)	MI:0496(bait)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:vrDXIdzP30aHSDLHOh2D4x54eJY9606	rigid:ZcdFxUrjVYTjUQd2IYGPeTHR8dQ	false	uniprotkb:Q5RL73	uniprotkb:P04792	uniprotkb:Q5RL73	uniprotkb:P04792	P	P	1258659	4580935	1149508	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	vrDXIdzP30aHSDLHOh2D4x54eJY9606	ipeJm6mRXUZSmpicx8XIYVlr/nA	23415319	4580935	1452463	-	X	2
uniprotkb:Q13191	uniprotkb:P00533	entrezgene/locuslink:868|genbank_protein_gi:54112420|refseq:NP_733762|rogid:cJ5eLH0TMyM6OtmS1sM3rhsrsIk9606|irogid:1403224	entrezgene/locuslink:1956|genbank_protein_gi:2811086|genbank_protein_gi:29725609|rogid:gXB5slVTC+z8DdqqXIzXG7lDwk09606|irogid:2135848	hgnc:CBLB|uniprotkb:CBLB_HUMAN|crogid:cJ5eLH0TMyM6OtmS1sM3rhsrsIk9606|icrogid:1403224	hgnc:EGFR|uniprotkb:EGFR_HUMAN|crogid:gXB5slVTC+z8DdqqXIzXG7lDwk09606|icrogid:2135848	MI:0064(interologs mapping)	-	pubmed:15657099	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:janaIbk3YPDYMJKKIxZlfe2/pME|edgetype:X	hpr:47500|lpr:47500|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:cJ5eLH0TMyM6OtmS1sM3rhsrsIk9606	rogid:gXB5slVTC+z8DdqqXIzXG7lDwk09606	rigid:janaIbk3YPDYMJKKIxZlfe2/pME	false	Swiss-Prot:Q13191	Swiss-Prot:P00533	uniprotkb:Q13191	uniprotkb:P00533	PD	PD	1403224	2135848	875942	cJ5eLH0TMyM6OtmS1sM3rhsrsIk9606	gXB5slVTC+z8DdqqXIzXG7lDwk09606	janaIbk3YPDYMJKKIxZlfe2/pME	1403224	2135848	875942	-	X	2
uniprotkb:Q5RL73	uniprotkb:Q16594	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:51578|entrezgene/locuslink:6880|genbank_protein_gi:4507351|rogid:Drikn9IwpWQXbTTXGqwf1hlRNE09606|irogid:1611110	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:TAF9|uniprotkb:TAF9_HUMAN|crogid:Drikn9IwpWQXbTTXGqwf1hlRNE09606|icrogid:1611110	MI:0398(two hybrid pooling approach)	stelzl-2005-1	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-730936|rigid:wbNkuqB0L3uSBGtZH478+ng997Q|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0498(prey)	MI:0496(bait)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:Drikn9IwpWQXbTTXGqwf1hlRNE09606	rigid:wbNkuqB0L3uSBGtZH478+ng997Q	false	uniprotkb:Q5RL73	uniprotkb:Q16594	uniprotkb:Q5RL73	uniprotkb:Q16594	P	P	1258659	1611110	1097855	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	Drikn9IwpWQXbTTXGqwf1hlRNE09606	KGI1tyJF9P6YSkZM8qrjSxKyRDw	23415319	1611110	1339702	-	X	2
uniprotkb:Q7CH88	uniprotkb:Q0ZGT2	entrezgene/locuslink:1147934|entrezgene/locuslink:1174049|entrezgene/locuslink:2764184|rogid:9A69vMd4aUh4omR1oSM0/w+bz0Y632|irogid:8443830	entrezgene/locuslink:91624|refseq:NP_653174|uniprotkb:Q0ZGT2|rogid:YtKRiGq1tjrPhdFzpS5TKVn3So89606|irogid:5086617	hgnc:YPO1201|hgnc:adiA|uniprotkb:Q7CH88_YERPE|crogid:9A69vMd4aUh4omR1oSM0/w+bz0Y632|icrogid:8443830	hgnc:NEXN|uniprotkb:NEXN_HUMAN|crogid:YtKRiGq1tjrPhdFzpS5TKVn3So89606|icrogid:5086617	MI:0398(two hybrid pooling approach)	dyer-2010-1	pubmed:20711500	taxid:632(Yersinia pestis)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-2863375|rigid:9UOIqrc2p/nOVeSlZBDSw2KSwdo|edgetype:X	hpr:8277|lpr:8277|np:1	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0496(bait)	MI:0498(prey)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:9A69vMd4aUh4omR1oSM0/w+bz0Y632	rogid:YtKRiGq1tjrPhdFzpS5TKVn3So89606	rigid:9UOIqrc2p/nOVeSlZBDSw2KSwdo	false	uniprotkb:Q7CH88	uniprotkb:Q0ZGT2	uniprotkb:Q7CH88	uniprotkb:Q0ZGT2	P	P	8443830	5086617	717550	9A69vMd4aUh4omR1oSM0/w+bz0Y632	YtKRiGq1tjrPhdFzpS5TKVn3So89606	9UOIqrc2p/nOVeSlZBDSw2KSwdo	8443830	5086617	717550	-	X	2
uniprotkb:Q5RL73	uniprotkb:Q9NY59	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:55512|entrezgene/locuslink:79756|uniprotkb:Q9NY59|rogid:MNq80xHgyR3+o0PIrUyJflMe5hQ9606|irogid:3076424	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:SMPD3|uniprotkb:NSMA2_HUMAN|crogid:MNq80xHgyR3+o0PIrUyJflMe5hQ9606|icrogid:3076424	MI:0398(two hybrid pooling approach)	stelzl-2005-1	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-731953|rigid:LbIEYAuQ7ZUX8cjBR1E3k28tCVI|edgetype:X	hpr:6860|lpr:6860|np:1	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0498(prey)	MI:0496(bait)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:MNq80xHgyR3+o0PIrUyJflMe5hQ9606	rigid:LbIEYAuQ7ZUX8cjBR1E3k28tCVI	false	uniprotkb:Q5RL73	uniprotkb:Q9NY59	uniprotkb:Q5RL73	uniprotkb:Q9NY59	P	P	1258659	3076424	910888	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	MNq80xHgyR3+o0PIrUyJflMe5hQ9606	7UHPsvJNCBYnJfjxF7gM1gGl7hU	23415319	3076424	1280468	-	X	2
uniprotkb:P30793	uniprotkb:P30047	entrezgene/locuslink:2643|entrezgene/locuslink:51658|entrezgene/locuslink:93984|rogid:9z/ipW7g2/eM/he2GvH8TndDK9I9606|irogid:988801	entrezgene/locuslink:2644|refseq:NM_005258|refseq:NP_005249|rogid:Hkr1UqznwdyXmFYzt3nXhrPSbv89606|irogid:2236992	hgnc:GCH1|uniprotkb:GCH1_HUMAN|crogid:9z/ipW7g2/eM/he2GvH8TndDK9I9606|icrogid:988801	hgnc:GCHFR|uniprotkb:GFRP_HUMAN|crogid:Hkr1UqznwdyXmFYzt3nXhrPSbv89606|icrogid:2236992	MI:0064(interologs mapping)	-	pubmed:15657099	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:N3yG+zdm2w4J1ig3VcsJBp/2uOQ|edgetype:X	hpr:47500|lpr:13|np:2	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:9z/ipW7g2/eM/he2GvH8TndDK9I9606	rogid:Hkr1UqznwdyXmFYzt3nXhrPSbv89606	rigid:N3yG+zdm2w4J1ig3VcsJBp/2uOQ	false	Swiss-Prot:P30793	Swiss-Prot:P30047	uniprotkb:P30793	uniprotkb:P30047	PD	PD	988801	2236992	942506	9z/ipW7g2/eM/he2GvH8TndDK9I9606	Hkr1UqznwdyXmFYzt3nXhrPSbv89606	N3yG+zdm2w4J1ig3VcsJBp/2uOQ	988801	2236992	942506	-	X	2
uniprotkb:Q5RL73	uniprotkb:P42568	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:4300|refseq:NP_004520|uniprotkb:P42568|rogid:Z+g2iDUI+CzIrL7bMjY11hYKywQ9606|irogid:5121081	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:MLLT3|uniprotkb:AF9_HUMAN|crogid:N9WfUHajoxbXbx7A7P4twMcsq2w9606|icrogid:3171279	MI:0398(two hybrid pooling approach)	stelzl-2005-1	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-732521|rigid:Cyued+FcITzQF1znVv/3adQQs8k|edgetype:X	hpr:47500|lpr:6860|np:2	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0498(prey)	MI:0496(bait)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:Z+g2iDUI+CzIrL7bMjY11hYKywQ9606	rigid:Cyued+FcITzQF1znVv/3adQQs8k	false	uniprotkb:Q5RL73	uniprotkb:P42568	uniprotkb:Q5RL73	uniprotkb:P42568	P	P	1258659	5121081	769308	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	N9WfUHajoxbXbx7A7P4twMcsq2w9606	iL+OOAKAWM4IlsWUVgebIJ8PzyM	23415319	3171279	1450264	-	X	2
uniprotkb:P52435	uniprotkb:P61246	entrezgene/locuslink:5439|genbank_protein_gi:5453932|refseq:NP_006225|rogid:jK/DlwFrHHuEJ0Ns3wRoB3icmsA9606|irogid:2562491	entrezgene/locuslink:768276|uniprotkb:P49241|uniprotkb:P61246|rogid:kmMDbXhAvdL7TIUmfp9mAhFghog9685|irogid:45983482	hgnc:POLR2J|uniprotkb:RPB11_HUMAN|crogid:jK/DlwFrHHuEJ0Ns3wRoB3icmsA9606|icrogid:2562491	hgnc:RPS3A|uniprotkb:RS3A_FELCA|uniprotkb:RS3A_HUMAN|crogid:kmMDbXhAvdL7TIUmfp9mAhFghog9685|icrogid:45983482	MI:0064(interologs mapping)	-	pubmed:15657099	taxid:9606(Homo sapiens)	taxid:9685(Felis catus)	MI:0191(aggregation)	MI:0000(ophid)	ophid:-|rigid:WHkV/gtkexmCiAzyfwisB9WzlqM|edgetype:X	hpr:47500|lpr:47500|np:1	none	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0000(unspecified)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	-	-	2013-03-02	2013-03-02	rogid:jK/DlwFrHHuEJ0Ns3wRoB3icmsA9606	rogid:kmMDbXhAvdL7TIUmfp9mAhFghog9685	rigid:WHkV/gtkexmCiAzyfwisB9WzlqM	false	Swiss-Prot:P52435	Swiss-Prot:P49241	uniprotkb:P52435	uniprotkb:P61246	PD	PUTD+L	2562491	45983482	1394837	jK/DlwFrHHuEJ0Ns3wRoB3icmsA9606	kmMDbXhAvdL7TIUmfp9mAhFghog9685	WHkV/gtkexmCiAzyfwisB9WzlqM	2562491	45983482	1394837	-	X	2
uniprotkb:Q5RL73	uniprotkb:Q9UN74	entrezgene/locuslink:84060|refseq:NM_032120|refseq:NP_115496|rogid:BnBn7WG9pDLy56v88coNY6I9waI9606|irogid:1258659	entrezgene/locuslink:56144|refseq:NP_061730|uniprotkb:Q9UN74|rogid:cxkORa7+Ur/duQpaNr9IH1lnIc49606|irogid:1477706	hgnc:RBM48|uniprotkb:RBM48_HUMAN|crogid:1il9Vt0U6BcSfvF4H4CQpbemKKE9606|icrogid:23415319	hgnc:PCDHA4|uniprotkb:PCDA4_HUMAN|crogid:cxkORa7+Ur/duQpaNr9IH1lnIc49606|icrogid:1477706	MI:0398(two hybrid pooling approach)	stelzl-2005-1	pubmed:16169070	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0469(intact)	intact:EBI-732749|rigid:H9gq3IX4FC2VWUUekfC8mWtWhPQ|edgetype:X	hpr:6860|lpr:6860|np:1	none	MI:0499(unspecified role)	MI:0499(unspecified role)	MI:0498(prey)	MI:0496(bait)	MI:0326(protein)	MI:0326(protein)	-	-	-	-	-	-	taxid:4932(Saccharomyces cerevisiae)	-	2013-03-02	2013-03-02	rogid:BnBn7WG9pDLy56v88coNY6I9waI9606	rogid:cxkORa7+Ur/duQpaNr9IH1lnIc49606	rigid:H9gq3IX4FC2VWUUekfC8mWtWhPQ	false	uniprotkb:Q5RL73	uniprotkb:Q9UN74	uniprotkb:Q5RL73	uniprotkb:Q9UN74	P	P	1258659	1477706	840903	1il9Vt0U6BcSfvF4H4CQpbemKKE9606	cxkORa7+Ur/duQpaNr9IH1lnIc49606	B8zsjPx7PI43FkTbOLh1GE1KUfU	23415319	1477706	1297642	-	X	2
