UniProt/SwissProt Accession	HGNC symbol
P22531	SPRR2E
Q9GZK4	OR2H1
Q5VYM1	C9orf131
P22531	SPRR2E
O95236	APOL3
Q96PD2	DCBLD2
Q9GZK4	OR2H1
Q96RM1	SPRR2F
Q9GZK4	OR2H1
P10828	THRB
Q9BYE4	SPRR2G
P10828	THRB
P48145	NPBWR1
Q8NAP3	ZBTB38
Q9GZK4	OR2H1
Q5SR56	HIATL1
Q5T871	LELP1
Q7Z412	PEX26
Q32NB8	PGS1
Q5T870	PRR9
Q8N1I0	DOCK4
P41145	OPRK1
P10828	THRB
Q7Z412	PEX26
P23490	LOR
Q9H074	PAIP1
P02814	SMR3B
P86790	C7orf28B
Q8NAP3	ZBTB38
P23490	LOR
P33402	GUCY1A2
Q13243	SRSF5
P10828	THRB
Q9UPW6	SATB2
Q5JUK3	KCNT1
P10828	THRB
Q13753	LAMC2
Q70Z35	PREX2
Q8NCC3	PLA2G15
Q9UPW6	SATB2
O43597	SPRY2
Q96LB9	PGLYRP3
O43597	SPRY2
Q9ULD0	OGDHL
Q4VX76	SYTL3
Q96GA3	LTV1
P46977	STT3A
Q9UPW6	SATB2
O15212	PFDN6
Q9ULD0	OGDHL
Q96PX8	SLITRK1
Q96PZ7	CSMD1
O15212	PFDN6
Q96HE8	TMEM80
P62273	RPS29
Q9H5Y7	SLITRK6
Q8N239	KLHL34
P15498	VAV1
O15212	PFDN6
Q5I0X7	TTC32
O94991	SLITRK5
Q5W0B8	C10orf136
P20963	CD247
Q9UL25	RAB21
Q9UHP9	SMPX
Q99661	KIF2C
Q6ZQY3	GADL1
Q5JWF8	C20orf134
P78333	GPC5
Q6ZP65	CCDC64
Q9UN72	PCDHA7
Q9Y5H6	PCDHA8
Q13243	SRSF5
Q53G44	IFI44L
Q9Y5H5	PCDHA9
Q5TFG8	C6orf94
Q9BZQ4	NMNAT2
Q86UY5	FAM83A
Q01094	E2F1
O75629	CREG1
O43462	MBTPS2
Q96E52	OMA1
Q5JWR5	DOPEY1
O95670	ATP6V1G2
Q9NY65	TUBA8
P49411	TUFM
Q9GIY3	HLA-DRB1
P04229	HLA-DRB1
Q29974	HLA-DRB1
P01911	HLA-DRB1
O15391	YY2
Q9P0K8	FOXJ2
Q9NSD5	SLC6A13
P08949	NMB
O60336	MAPKBP1
Q9Y6I8	PXMP4
P34949	MPI
Q9H313	TTYH1
Q15283	RASA2
Q9Y625	GPC6
P63146	UBE2B
Q6JBY9	RCSD1
Q86TC9	MYPN
Q9Y5I2	PCDHA10
Q96MM7	HS6ST2
Q9UFE4	CCDC39
Q15057	ACAP2
Q96FV2	SCRN2
Q9UBC1	NFKBIL1
P48061	CXCL12
Q96MM7	HS6ST2
Q3SY56	SP6
Q8N129	CNPY4
P49841	GSK3B
Q96MM7	HS6ST2
Q9P2L0	WDR35
Q96MM7	HS6ST2
P24855	DNASE1
Q9UI12	ATP6V1H
Q96MM7	HS6ST2
Q9H7D0	DOCK5
P23470	PTPRG
P24855	DNASE1
O95711	LY86
Q8N4M7	C10orf126
Q02086	SP2
O95711	LY86
Q9UI12	ATP6V1H
Q08289	CACNB2
P48960	CD97
O00294	TULP1
Q14246	EMR1
Q9UMW8	USP18
O95789	ZMYM6
Q9UMW8	USP18
O95297	MPZL1
Q5EBL8	PDZD11
Q9Y467	SALL2
Q9Y696	CLIC4
Q49A17	GALNTL6
Q6UWQ5	LYZL1
O15211	RGL2
P09758	TACSTD2
Q5VVB8	C6orf191
Q5EBL8	PDZD11
P52788	SMS
Q5VVB8	C6orf191
Q5VYJ4	SNRPEL1
Q6UW10	SFTA2
Q96B96	TMEM159
A8MWX3	WASH4P
Q96B96	TMEM159
Q9BYN7	ZNF341
Q8TCJ2	STT3B
A6NKL6	TMEM200C
P40126	DCT
P23763	VAMP1
Q96LB8	PGLYRP4
P59910	DNAJB13
Q9NVS9	PNPO
P79522	PRR3
P21802	FGFR2
P55291	CDH15
P06702	S100A9
Q13613	MTMR1
Q86XI2	NCAPG2
Q9NPH5	NOX4
Q5VVJ2	MYSM1
Q9UEE5	STK17A
Q86XI2	NCAPG2
P98171	ARHGAP4
P80511	S100A12
P35968	KDR
Q96PX6	CCDC85A
Q8N565	MREG
Q9HAN9	NMNAT1
Q05996	ZP2
Q8N565	MREG
P05109	S100A8
P05109	S100A8
Q8NEM0	MCPH1
Q6UXI9	NPNT
Q8TBX8	PIP4K2C
Q5XKK7	C15orf17
P78380	OLR1
Q9BU68	PRR15L
Q86SG5	S100A7A
Q86SG5	S100A7A
Q86SF2	GALNT7
Q86SG5	S100A7A
P01375	TNF
Q92540	SMG7
Q5SY68	S100A7L2
O15327	INPP4B
O95453	PARN
A6NJ08	MBD3L5
Q5SY68	S100A7L2
Q2TBE0	CWF19L2
Q5SY68	S100A7L2
Q9C0H6	KLHL4
Q5TZJ5	FAM75A1
A6NDZ8	MBD3L4
Q6ZS30	OLR1
Q8NA19	L3MBTL4
Q8NHZ7	MBD3L2
Q8NHZ7	MBD3L2
Q8NA19	L3MBTL4
Q9H295	TM7SF4
P31151	S100A7
P31151	S100A7
Q14129	DGCR6
A6NE82	MBD3L3
Q15648	MED1
Q96GE9	C9orf123
Q06643	LTB
Q9BPW4	APOL4
Q99935	PROL1
P49639	HOXA1
P06703	S100A6
Q2Y0W8	SLC4A8
Q9BZS1	FOXP3
P06241	FYN
P08697	SERPINF2
P06703	S100A6
Q8N8R5	C2orf69
P06241	FYN
Q9BZS1	FOXP3
Q6UXK5	LRRN1
Q9GZR2	REXO4
P33763	S100A5
P59074	CHMP4B
Q9H444	CHMP4B
Q15286	RAB35
P33763	S100A5
Q8N988	ZNF557
Q5SSG8	MUC21
P78562	PHEX
P33763	S100A5
O00757	FBP2
Q9Y5I1	PCDHA11
Q9ULJ6	ZMIZ1
Q96HQ2	CDKN2AIPNL
Q99612	KLF6
Q86Y07	VRK2
Q9P2N2	ARHGAP28
P21802	FGFR2
P26447	S100A4
O95455	TGDS
Q5SQ64	LY6G6F
O43364	HOXA2
P26447	S100A4
Q9H0E2	TOLLIP
A2RUC4	TYW5
Q8IWR1	TRIM59
Q6UXA7	C6orf15
P08697	SERPINF2
Q96JB5	CDK5RAP3
P26447	S100A4
P19878	NCF2
P26447	S100A4
P37837	TALDO1
Q8TC07	TBC1D15
Q96JM7	L3MBTL3
P19878	NCF2
Q86Y07	VRK2
Q86V85	GPR180
Q96PN6	ADCY10
P06213	INSR
Q8NBJ4	GOLM1
Q9UIG5	PSORS1C1
Q96JM7	L3MBTL3
Q8NBJ4	GOLM1
P22607	FGFR3
O43820	HYAL3
Q92536	SLC7A6
Q8ND94	LRRN4CL
Q96R05	RBP7
P05412	JUN
Q8TC07	TBC1D15
Q96L50	LRR1
A6NCX1	CYP4F31P
A8MVP8	CYP4F31P
Q9H0H9	CYP4F31P
Q96JA4	MS4A14
Q92766	RREB1
Q86Y07	VRK2
P22607	FGFR3
O15123	ANGPT2
P35410	MAS1L
Q16581	C3AR1
Q8NGC4	OR10G3
Q8NGC3	OR10G2
Q8NGC2	OR4E2
Q12931	TRAP1
P51648	ALDH3A2
Q68DN1	C2orf16
P51648	ALDH3A2
O15511	ARPC5
Q92766	RREB1
Q9BY49	PECR
P61803	DAD1
Q9UFH2	DNAH17
Q9GZY4	C7orf44
Q6P582	MZT2A
Q9GZY4	C7orf44
Q8N7E2	ZNF645
Q96P11	NSUN5
Q9GZY4	C7orf44
P52655	GTF2A1
Q9GZY4	C7orf44
Q86TM3	DDX53
Q8WVF2	UCMA
Q9UM63	PLAGL1
P28702	RXRB
Q8N2X6	C5orf55
Q7Z7H5	TMED4
Q9GZY4	C7orf44
Q9NQC1	PHF15
Q9GZY4	C7orf44
Q96NR3	PTCHD1
O00629	KPNA4
O95563	BRP44
Q9UM63	PLAGL1
Q9NS56	TOPORS
Q96PV6	LENG8
O95239	KIF4A
P29375	KDM5A
Q9UKM9	RALY
O95563	BRP44
Q9UM63	PLAGL1
Q9P299	COPZ2
Q9NQC1	PHF15
P55851	UCP2
Q9NYV4	CDK12
Q9GZY4	C7orf44
Q6P587	FAHD1
P55072	VCP
Q9UM63	PLAGL1
Q9GZY4	C7orf44
Q9NYV4	CDK12
Q8TB40	ABHD4
Q9UM63	PLAGL1
Q9UM63	PLAGL1
Q9UM63	PLAGL1
O43365	HOXA3
Q96C11	FGGY
P51114	FXR1
Q96AE7	TTC17
O43272	PRODH
O43365	HOXA3
Q7L1I2	SV2B
Q13162	PRDX4
P09467	FBP1
P33764	S100A3
P33764	S100A3
Q00325	SLC25A3
Q7L1I2	SV2B
Q8NCS4	ZMYM6NB
O14757	CHEK1
Q8TCB0	IFI44
O95425	SVIL
P62241	RPS8
Q15784	NEUROD2
Q9P2P1	NYNRIN
P29034	S100A2
Q8NA47	CCDC63
Q9BQE5	APOL2
Q92626	PXDN
Q96G97	BSCL2
Q9BQE5	APOL2
Q8N4G2	ARL14
Q9Y651	SOX21
Q9UN75	PCDHA12
Q9UMR7	CLEC4A
Q9NZL6	RGL1
P29034	S100A2
O95425	SVIL
Q8TAX7	MUC7
Q9Y2Y1	POLR3K
Q9BQE5	APOL2
Q9NS00	C1GALT1
A4D2B0	MBLAC1
Q8NE71	ABCF1
Q96HH4	TMEM169
Q8TAX7	MUC7
Q8TAX7	MUC7
Q9UBF6	RNF7
P29034	S100A2
Q9NS00	C1GALT1
Q5SGD2	PPM1L
P09467	FBP1
O77932	DOM3Z
Q96HH4	TMEM169
Q6ZSY5	PPP1R3F
Q9Y376	CAB39
Q9NUQ2	AGPAT5
Q96HH4	TMEM169
O77932	DOM3Z
O00148	DDX39A
Q96HH4	TMEM169
Q9Y376	CAB39
Q9BX84	TRPM6
Q0VGL1	C7orf59
Q9Y376	CAB39
O60645	EXOC3
Q5SVZ6	ZMYM1
P62079	TSPAN5
Q9UBF6	RNF7
O15226	NKRF
O00148	DDX39A
O77932	DOM3Z
P15311	EZR
Q14494	NFE2L1
Q14494	NFE2L1
Q96FQ6	S100A16
Q8WW27	APOBEC4
Q86VL8	SLC47A2
O15226	NKRF
Q96FQ6	S100A16
P15311	EZR
Q96FQ6	S100A16
Q96FQ6	S100A16
Q5SVZ6	ZMYM1
Q9H3V2	MS4A5
O14757	CHEK1
P83916	CBX1
P83916	CBX1
Q9HCY8	S100A14
P10916	MYL2
O14757	CHEK1
Q9BV90	SNRNP25
Q9HCY8	S100A14
Q9HCY8	S100A14
Q8WV74	NUDT8
Q96ME7	ZNF512
Q9HCY8	S100A14
Q6UX39	AMTN
Q5T5Y3	CAMSAP1
Q6UW01	CBLN3
Q96B70	LENG9
O95202	LETM1
Q8IYK4	GLT25D2
Q6ZSZ5	ARHGEF18
Q58WW2	DCAF6
P47974	ZFP36L2
P36955	SERPINF1
Q6NZY7	CDC42EP5
O14791	APOL1
Q96HA9	PEX11G
Q6ZV65	FAM47E
Q96K31	C8orf76
Q7L4E1	FAM73B
Q8WW01	TSEN15
O15037	KHNYN
Q99584	S100A13
O14791	APOL1
Q8N431	RASGEF1C
Q8NA69	C19orf45
Q8N431	RASGEF1C
A6NGK3	GAGE10
A6NER3	GAGE12J
Q4V321	GAGE13
Q6ZUJ8	PIK3AP1
O75752	B3GALNT1
Q08999	RBL2
Q9UD71	PPP1R1B
P20674	COX5A
Q9NZS9	BFAR
O14832	PHYH
Q4V326	GAGE2E
O00453	LST1
O75752	B3GALNT1
P10826	RARB
P0C7V7	SEC11A
P67812	SEC11A
Q9BXU7	USP26
Q9UEU5	GAGE2D
P0C7V7	SEC11A
Q8NGC5	OR6J1
Q9H246	C1orf21
Q8N6U8	GPR161
Q99584	S100A13
Q9BXU7	USP26
Q99584	S100A13
Q93015	NAT6
O75752	B3GALNT1
Q99584	S100A13
Q99584	S100A13
Q8N6U8	GPR161
Q93015	NAT6
O75752	B3GALNT1
O14791	APOL1
O95299	NDUFA10
Q93015	NAT6
P03999	OPN1SW
Q93015	NAT6
Q9Y305	ACOT9
O75752	B3GALNT1
Q5RGS2	FAM75A2
O00453	LST1
P13010	XRCC5
Q14117	DPYS
Q8N6U8	GPR161
Q5SQ64	LY6G6F
O14791	APOL1
Q8N6U8	GPR161
O00213	APBB1
Q9BUL9	RPP25
Q5H9I0	TFDP3
Q6ISS4	LAIR2
O14791	APOL1
Q86W56	PARG
Q8WWC4	C2orf47
O95139	NDUFB6
O75752	B3GALNT1
Q8WWC4	C2orf47
Q12794	HYAL1
Q53H47	SETMAR
O75663	TIPRL
P23468	PTPRD
Q9BXB5	OSBPL10
Q8IVE3	PLEKHH2
P60022	DEFB1
Q9HAT8	PELI2
O15439	ABCC4
Q9H1D0	TRPV6
P13010	XRCC5
Q12794	HYAL1
Q9BWT1	CDCA7
Q8NB37	PDDC1
Q12794	HYAL1
Q8NB37	PDDC1
Q9NQX7	ITM2C
Q01524	DEFA6
Q8NFU0	BEST4
Q9H7L2	KIR3DX1
O95868	LY6G6D
P12838	DEFA4
Q9UIG4	PSORS1C2
P59665	DEFA1
Q9Y5W9	SNX11
P16871	IL7R
Q9Y5W9	SNX11
Q9BZQ6	EDEM3
P23297	S100A1
P59665	DEFA1
Q96MU6	ZNF778
Q9NW07	ZNF358
Q9NW07	ZNF358
Q9NRF2	SH2B1
Q92616	GCN1L1
P23468	PTPRD
O14529	CUX2
P59665	DEFA1B
P20042	EIF2S2
A6NK07	EIF2S2
P23297	S100A1
Q9BWJ5	SF3B5
Q5VUA4	ZNF318
O95562	SFT2D2
Q9UKA1	FBXL5
O75558	STX11
Q96JN2	CCDC136
O75333	TBX10
P42127	ASIP
Q96IX9	ANKRD36BP1
Q8N8V4	ANKS4B
Q15070	OXA1L
Q5JU67	C9orf117
P59666	DEFA3
Q8WUY9	DEPDC1B
Q92610	ZNF592
Q01523	DEFA5
Q96HD9	ACY3
Q86V40	C2orf89
A0PK05	TMEM72
A8MUZ8	ZNF705G
O60806	TBX19
Q13761	RUNX3
O95155	UBE4B
P23526	AHCY
P81534	DEFB103B
P27658	COL8A1
P25391	LAMA1
Q13069	GAGE12I
O76087	GAGE12I
Q13070	GAGE12I
Q13067	GAGE12I
P0CL82	GAGE12I
Q9UBS5	GABBR1
Q9UBD3	XCL2
Q9BZQ8	FAM129A
Q9Y5I0	PCDHA13
Q13066	GAGE2C
Q9GZU1	MCOLN1
Q14894	CRYM
Q8WVR3	C7orf43
Q86V40	C2orf89
P27658	COL8A1
Q9H4B4	PLK3
Q16512	PKN1
Q14894	CRYM
Q13066	GAGE2B
Q9NX78	C14orf101
Q8N149	LILRA2
Q8TAQ2	SMARCC2
P48448	ALDH3B2
P47992	XCL1
Q6UB99	ANKRD11
Q16512	PKN1
Q4KMG9	C12orf59
Q8WXE9	STON2
Q4VX62	C6orf99
Q13451	FKBP5
Q86UW6	N4BP2
P01148	GNRH1
Q13451	FKBP5
Q8N149	LILRA2
Q96L96	ALPK3
P01148	GNRH1
Q07507	DPT
Q08648	SPAG11B
Q99496	RNF2
Q8TE73	DNAH5
Q8NFW1	COL22A1
Q8N9I9	DTX3
Q8TAF3	WDR48
Q9HBI5	C3orf14
P41236	PPP1R2
Q6NXS1	PPP1R2
Q9HBI5	C3orf14
Q9HBI5	C3orf14
P23246	SFPQ
Q96BT7	ALKBH8
Q86UC2	RSPH3
Q9HBW9	ELTD1
O75487	GPC4
Q86WV1	SKAP1
Q96BT7	ALKBH8
P05026	ATP1B1
Q96BT7	ALKBH8
P14653	HOXB1
P98153	DGCR2
A6PVI3	NCBP2L
P05026	ATP1B1
Q9Y3Y2	CHTOP
P49842	STK19
Q9UIG8	SLCO3A1
P30838	ALDH3A1
Q9H2L5	RASSF4
Q96CC6	RHBDF1
P14652	HOXB2
Q9BQ75	C3orf26
Q13748	TUBA3D
P14651	HOXB3
P63313	TMSB10
P11836	MS4A1
Q9UJC3	HOOK1
P11836	MS4A1
Q2UY09	COL28A1
P21673	SAT1
Q8TAC9	SCAMP5
Q9NP70	AMBN
Q8N4B1	FAM109A
Q8N635	C16orf73
Q96J02	ITCH
P14651	HOXB3
Q5RGS3	FAM74A1
Q8TBJ5	FEZF2
Q9Y5B8	NME7
Q5SRD0	FAM21D
Q9P0J7	KCMF1
P14651	HOXB3
Q8TBJ5	FEZF2
Q8TD31	CCHCR1
Q9UJV3	MID2
Q8TD31	CCHCR1
Q8TBJ5	FEZF2
Q8IYR2	SMYD4
Q8IZX4	TAF1L
Q9H1C4	UNC93B1
A6NGZ7	UNC93B1
O15232	MATN3
P45984	MAPK9
Q9NUQ6	SPATS2L
Q8NDZ6	TMEM161B
P14651	HOXB3
Q9NUQ6	SPATS2L
Q14406	CSHL1
Q14406	GH1
Q5VYP0	FAM75A3
Q9Y561	LRP12
P78369	CLDN10
Q9NUQ6	SPATS2L
Q7Z2T5	TRMT1L
Q14406	CSHL1
Q14406	GH1
Q9UQQ2	SH2B3
Q5SRD3	AGAP8
Q92504	SLC39A7
Q9Y561	LRP12
P45984	MAPK9
Q92504	SLC39A7
P30838	ALDH3A1
P05090	APOD
Q14406	CSHL1
Q14406	GH1
P30838	ALDH3A1
O96028	WHSC1
Q86XT4	TRIM50
Q96CD2	PPCDC
Q86XT4	TRIM50
Q96JD6	AKR1E2
Q9NUQ6	SPATS2L
Q8N103	TAGAP
Q14406	CSHL1
Q14406	GH1
Q8WTQ1	DEFB104B
Q86Y79	PTRH1
O96028	WHSC1
Q9NUQ6	SPATS2L
Q9H2G9	BLZF1
O15209	ZBTB22
Q8N104	DEFB106B
Q9H2G9	BLZF1
P46939	UTRN
Q8N6M6	C9orf3
Q86VW2	ARHGEF25
P01241	CSHL1
P01241	GH1
Q96A56	TP53INP1
Q8NG35	DEFB105B
Q5TBE3	C9orf153
P27694	RPA1
Q9UEG4	ZNF629
Q9Y2T6	GPR55
Q8NHL6	LILRB1
Q9Y2T6	GPR55
Q8IZN7	DEFB107B
Q9Y2T6	GPR55
Q96CW6	SLC7A6OS
Q8N123	CPXCR1
O95210	STBD1
Q8N123	CPXCR1
Q96D46	NMD3
Q8IZN7	DEFB107A
Q969Q0	RPL36AL
Q5TID7	C1orf114
O95868	LY6G6D
O96028	WHSC1
Q96D46	NMD3
O95866	C6orf25
Q8NG35	DEFB105A
O96028	WHSC1
Q9NRG7	SDR39U1
Q659A1	NARG2
Q9UKY1	ZHX1
Q02218	OGDH
A1L429	GAGE12C
Q86YF9	DZIP1
O95490	LPHN2
Q15669	RHOH
A1L429	GAGE12D
Q68D42	TMEM215
Q5T3U5	ABCC10
Q5T5J6	SWT1
Q9UER7	DAXX
Q9UKY1	ZHX1
P05388	RPLP0
Q8NHW5	RPLP0
Q9UER7	DAXX
Q13423	NNT
Q5T5J6	SWT1
O95867	LY6G6C
Q86YF9	DZIP1
Q13423	NNT
Q10469	MGAT2
Q76LX8	ADAMTS13
Q14141	SEPT6
Q53GQ0	HSD17B12
Q9BUR5	APOO
Q96AQ1	CCDC74A
O60779	SLC19A2
Q9NVM4	PRMT7
Q14181	POLA2
Q8N100	ATOH7
Q9NVM4	PRMT7
Q8IY17	PNPLA6
Q9NVR5	DNAAF2
Q9ULU8	CADPS
Q8IUE1	TGIF2LX
Q14849	STARD3
Q8N104	DEFB106A
Q96DU9	PABPC5
Q12891	HYAL2
Q96DU9	PABPC5
Q86UN2	RTN4RL1
O95490	LPHN2
Q96QI5	HS3ST6
Q8WTQ1	DEFB104A
C9JDV5	C12orf77
Q96QI5	HS3ST6
Q8N6K7	SAMD3
P30039	PBLD
Q7L273	KCTD9
O95865	DDAH2
P34995	PTGER1
O95865	DDAH2
Q96DF8	DGCR14
Q92506	HSD17B8
Q12891	HYAL2
O95926	SYF2
O15496	PLA2G10
Q12891	HYAL2
O15496	PLA2G10
Q8NHX4	SPATA3
O95865	DDAH2
Q6ZRI6	C15orf39
P30039	PBLD
O14908	GIPC1
Q8TCX1	DYNC2LI1
Q8NHL6	LILRB1
O14908	GIPC1
Q8N423	LILRB1
Q12891	HYAL2
Q6ZRI6	C15orf39
Q6PDA7	SPAG11A
P0C869	JMJD7-PLA2G4B
Q5JR98	TCTEX1D4
Q6IFH4	OR6B2
Q96PF2	TSSK2
Q96CF2	CHMP4C
A1L429	GAGE12E
Q8WXC7	PRR21
Q8WXC7	PRR21
O15499	GSC2
Q9UBV2	SEL1L
Q5JR98	TCTEX1D4
Q8NGW1	OR6B3
P0C869	JMJD7-PLA2G4B
Q13069	GAGE12F
O76087	GAGE12F
P0CL80	GAGE12F
Q13070	GAGE12F
Q13067	GAGE12F
Q8NHL6	LILRB1
Q8NFN8	GPR156
Q99700	ATXN2
Q13069	GAGE12G
P0CL81	GAGE12G
O76087	GAGE12G
Q13070	GAGE12G
Q13067	GAGE12G
O75344	FKBP6
P25685	DNAJB1
A6NDE8	GAGE12H
Q9BZG8	DPH1
C9JJ37	BTBD19
Q8NFN8	GPR156
P35579	MYH9
P05388	RPLP0
Q8NHW5	RPLP0
P30405	PPIF
P40259	CD79B
Q6NT46	GAGE2A
C9JJ37	BTBD19
Q96LI9	CXorf58
Q6ZUS5	CCDC121
A6NGZ8	CXorf68
Q13065	GAGE1
Q6ZUS5	CCDC121
Q8WXC6	MYEOV2
Q9NXJ0	MS4A12
A6NCS6	C2orf72
O95295	SNAPIN
O14931	NCR3
P0C869	JMJD7-PLA2G4B
Q9Y6Y0	IVNS1ABP
P81534	DEFB103A
Q02447	SP3
Q6ZUL3	C8orf86
Q8N307	MUC20
Q96M94	KLHL15
Q96CX6	LRRC58
C9JJ37	BTBD19
C9JJ37	BTBD19
P12259	F5
Q6ZN79	ZNF705A
Q8WUZ0	BCL7C
O75459	PAGE1
O15263	DEFB4A
P57768	SNX16
Q7Z2E3	APTX
Q6ZN79	ZNF705A
P35499	SCN4A
Q8IWQ3	BRSK2
Q9NZ01	TECR
Q9P2E8	MARCH4
Q5J8X5	MS4A13
O00337	SLC28A1
Q9HCS4	TCF7L1
Q15012	LAPTM4A
Q96IL0	C14orf153
O60829	PAGE4
O60829	PAGE4
O00337	SLC28A1
Q8NHW6	OTOS
Q8NHW6	OTOS
P53007	SLC25A1
P57768	SNX16
Q8WZ82	OVCA2
Q5M9N0	CCDC158
O95867	LY6G6C
Q14526	HIC1
P53004	BLVRA
P53004	BLVRA
P56282	POLE2
Q9BUE6	ISCA1
Q86US8	SMG6
O95394	PGM3
Q8N336	ELMOD1
Q9BUE6	ISCA1
Q86YD7	FAM90A1
P35052	GPC1
P41091	EIF2S3
Q2VIR3	EIF2S3
P0CI25	TRIM49
Q14973	SLC10A1
P51795	CLCN5
Q9H8W4	PLEKHF2
P51795	CLCN5
O95865	DDAH2
P0CI00	ZNF705B
P0CH99	ZNF705B
Q9HCN4	GPN1
P0CI00	ZNF705B
P0CH99	ZNF705B
Q96EL2	MRPS24
Q9NY59	SMPD3
O95865	DDAH2
P51795	CLCN5
Q9H8P0	SRD5A3
P51795	CLCN5
Q8NFR3	SPTSSB
Q96RP7	GAL3ST4
Q8NFR3	SPTSSB
Q9NZC9	SMARCAL1
P51795	CLCN5
O95865	DDAH2
P06730	EIF4E
A6NHN0	OTOL1
Q96RP7	GAL3ST4
Q96B33	CLDN23
Q9NZC9	SMARCAL1
Q9UL68	MYT1L
Q8N2G6	ZCCHC24
Q6EIG7	CLEC6A
Q13217	DNAJC3
Q9H900	ZWILCH
Q12912	LRMP
P16109	SELP
P00451	F8
Q9Y4C4	MFHAS1
Q9UL68	MYT1L
Q9HC07	TMEM165
Q5VZL5	ZMYM4
O43493	TGOLN2
P16109	SELP
P17483	HOXB4
Q9H158	PCDHAC1
P51654	GPC3
Q9NP97	DYNLRB1
O15273	TCAP
O94986	CEP152
Q16619	CTF1
O00631	SLN
Q12841	FSTL1
Q15438	CYTH1
P11086	PNMT
O75410	TACC1
Q9H0R8	GABARAPL1
Q8IV48	ERI1
Q8TF47	ZFP90
Q9NRM1	ENAM
Q9NTK5	OLA1
Q9BY19	MS4A8B
A0FGR8	ESYT2
Q8WWF8	CAPSL
Q9BXU2	TEX13B
Q14315	FLNC
Q8WWF8	CAPSL
Q9H492	MAP1LC3A
Q6PCT2	FBXL19
Q9H492	MAP1LC3A
Q69YH5	CDCA2
Q12905	ILF2
Q6PCT2	FBXL19
A6NDK9	GOLGA6C
O14983	ATP2A1
O00144	FZD9
Q9NTK5	OLA1
Q8IWL1	SFTPA2
Q96NL8	C8orf37
Q96QC0	PPP1R10
Q86XK7	VSIG1
Q9BZA7	PCDH11X
Q8IXU6	SLC35F2
P17010	ZFX
Q6KF10	GDF6
Q15438	CYTH1
Q99460	PSMD1
P43307	SSR1
P17010	ZFX
O95389	WISP3
Q8IXU6	SLC35F2
Q4L180	FILIP1L
Q9UND3	NPIP
P17010	ZFX
Q9Y6C5	PTCH2
O00217	NDUFS8
P17568	NDUFB7
Q9NYU1	UGGT2
O75019	LILRA1
P09067	HOXB5
Q9NQA5	TRPV5
P0CG33	GOLGA6D
Q9UM01	SLC7A7
Q9H490	PIGU
Q9Y5I4	PCDHAC2
P17509	HOXB6
P01591	IGJ
Q9UQD0	SCN8A
O14613	CDC42EP2
Q9UIG0	BAZ1B
Q9UIG0	BAZ1B
Q96L11	C7orf34
Q9UM01	SLC7A7
P22223	CDH3
P17509	HOXB6
Q9NZV6	SEPX1
Q9Y324	FCF1
A1L3X0	ELOVL7
Q9UM01	SLC7A7
A1L3X0	ELOVL7
Q96L11	C7orf34
O95389	WISP3
Q96RW7	HMCN1
Q9H8T0	AKTIP
Q9UM01	SLC7A7
O95389	WISP3
Q86XI6	PPP1R3B
Q9H8T0	AKTIP
P09629	HOXB7
Q6ZS10	CLEC17A
Q8IXH6	TP53INP2
Q8IXH6	TP53INP2
Q8IYT8	ULK2
Q9UGM1	CHRNA9
P14410	SI
Q6ZS10	CLEC17A
Q06587	RING1
P17481	HOXB8
Q6NUM9	RETSAT
Q9HCC8	GDPD2
A6NM36	LRRC30
Q8NG04	SLC26A10
Q86SE5	RALYL
O00299	CLIC1
Q70UQ0	IKBIP
Q9P1Y5	KIAA1543
O00299	CLIC1
A6NI03	TRIM64B
Q86SE5	RALYL
Q86SE5	RALYL
O00299	CLIC1
Q3C1V0	MS4A18
O00299	CLIC1
Q86SE5	RALYL
P17482	HOXB9
Q92186	ST8SIA2
P0CI26	TRIM49L2
P0C7W0	C17orf72
Q92954	PRG4
O43542	XRCC3
P49903	SEPHS1
P13598	C17orf72
Q92901	RPL3L
Q7Z6J4	FGD2
Q96DA6	DNAJC19
Q6UY11	DLK2
P23946	CMA1
Q92785	DPF2
Q9H4F8	SMOC1
P61513	RPL37A
Q8N5U1	MS4A15
P23946	CMA1
Q9BUV0	C1orf63
Q6UY11	DLK2
Q5JQC9	AKAP4
Q9HCS7	XAB2
P18827	SDC1
P31942	HNRNPH3
Q92954	PRG4
Q14686	NCOA6
Q14686	NCOA6
Q9BY15	EMR3
O43542	XRCC3
O76081	RGS20
Q96KF2	PRAC
Q96Q83	ALKBH3
P18827	SDC1
P48431	SOX2
P29372	MPG
Q9NSG2	C1orf112
A0ZSE6	TMEM30C
Q92826	HOXB13
P48764	SLC9A3
Q9NRM2	ZNF277
Q9NSG2	C1orf112
P16066	NPR1
P13598	ICAM2
P13598	ICAM2
Q96FM1	PGAP3
P13598	ICAM2
P28827	PTPRM
P55008	AIF1
P14927	UQCRB
P08311	CTSG
Q9BQE9	BCL7B
Q9Y5F3	PCDHB1
Q9Y3Q0	NAALAD2
Q02880	TOP2B
Q99757	TXN2
Q4ZHG4	FNDC1
Q14643	ITPR1
Q8N158	GPC2
O43572	AKAP10
Q4ZHG4	FNDC1
O15287	FANCG
O95271	TNKS
Q99757	TXN2
Q6PI47	KCTD18
Q6PI47	KCTD18
Q99102	MUC4
Q99102	MUC4
Q9H4P4	RNF41
A0AV96	RBM47
P51589	CYP2J2
